team,dynamic_elo,form_10,attack_20,defense_20,conf_strength,is_2026_host
Scotland,1809.0496955641909,1.932584936554679,2.0294650584112555,1.0965526434705444,1.0,0
England,2037.8387617384951,2.100067643701356,2.0796850797870365,0.4258484796854893,1.0,0
Wales,1742.0151056013863,1.0451413629012851,1.6918698651221509,1.3307615944902804,1.0,0
Northern Ireland,1621.8504276012072,1.1970897304290027,1.0541991574389407,1.2450775866870545,0.85,0
USA,1867.5687210201863,1.3969824759838958,1.7768714330619881,1.748069854841315,0.82,1
Canada,1875.5231082653072,1.6339364529608482,1.3441038651515251,0.5129567433420273,0.82,1
Uruguay,1928.0949280274995,1.3555061689970742,0.8410988148601511,0.9188286129543476,0.97,0
Argentina,2145.8902646958813,2.7259203493985344,2.411639567186577,0.36943315550911615,0.97,0
Austria,1863.7484383441592,2.5385251369745423,2.295827500063006,0.5858285463919677,1.0,0
Hungary,1771.6542855872035,1.9175729415397356,1.2500067485970348,1.3378295045450785,1.0,0
Czechoslovakia,1755.7996738278573,1.8117799244988675,1.8489299478133567,1.0470536636855228,0.85,0
Belgium,1899.5916868863505,2.461307763269043,3.0770210111675635,0.8780011097413686,1.0,0
France,2086.5387891424493,2.3587958357505916,2.3775703539837125,1.086902720378826,1.0,0
Switzerland,1916.3154664916146,1.6398232185386359,2.109820358464514,1.1090291872057492,1.0,0
Guernsey,1723.42188242978,1.816029270380091,1.8203048818592724,0.9335023301158745,0.85,0
Alderney,1105.6916821494685,0.5766704226490825,0.8320426350376549,3.4414029001168616,0.85,0
Jersey,1788.9255877470891,2.027797551405379,2.8644387735400225,1.0313530610903443,0.85,0
Netherlands,1993.13284043998,1.980475793208625,2.3092189836921975,0.8898898594372768,1.0,0
Guyana,1475.8803806179146,2.5792040259819307,2.2120633710031705,1.4358403258488026,0.85,0
Trinidad and Tobago,1526.221065513163,0.5958467369552326,1.1755982133861558,2.284760019839829,0.85,0
South Africa,1676.0009683862638,1.533012535355521,1.3059742404987138,0.8270618789093196,0.88,0
Germany,2005.5634867208053,2.896039686583488,2.7045386264886013,0.9510205351725743,1.0,0
Sweden,1767.6319642609005,1.1052325856260612,1.888384259011659,1.7453360562951608,1.0,0
Norway,1913.9596944893542,1.8282188390993106,2.7606351492994925,0.8432324660857599,1.0,0
Denmark,1897.2843828630873,1.8695219634350335,2.175290255980936,1.095310618586222,1.0,0
Italy,1936.5073720750754,2.4363533294791195,1.9632144112352996,1.0855045069122944,1.0,0
Chile,1746.7754484358163,1.3438442991988973,1.3753816734258166,1.6217864450607336,0.97,0
Russia,1825.427967188709,1.6978823623676125,2.1273535761048206,0.6341230452388014,0.85,0
Finland,1574.2505066622866,0.9233710096773842,1.0366735069211261,1.7161983594044001,0.85,0
Luxembourg,1457.670536304801,0.6712490509751531,0.3352695985238788,1.4477063571739455,0.85,0
Catalonia,1664.4966119202409,1.7245033584218707,1.8359249101259283,1.309551026880022,0.85,0
Philippines,1361.4362263199412,2.5528694622576005,2.3103665150717445,1.256119583824598,0.85,0
China,1567.4420606185206,1.5521103155261582,1.0357730171163841,1.4218213986876564,0.85,0
Brazil,2012.2539009345828,2.150038528455327,2.235928914609624,1.1194076938645072,0.97,0
Basque Country,1773.255191455478,2.215676897209159,2.191970404858691,0.8664197482462894,0.85,0
Japan,1973.5048888683677,2.633972466792826,1.9254446293736565,0.45865202109188163,0.84,0
Paraguay,1837.816452881577,1.6562225500149657,1.4295548788257009,0.9451776063609802,0.97,0
Romania,1699.1902248694237,1.4700006875835834,1.772106290556218,1.2371796665359793,1.0,0
Greece,1794.5881709175446,0.7416922770515577,1.3708455189327626,1.2229312981818397,0.85,0
Yugoslavia,1819.208508914721,1.2882607361408835,1.8823172574394078,1.1941725940008858,0.85,0
Spain,2187.1247023516453,2.1872719376246144,2.584422177922196,0.8411661088002458,1.0,0
Egypt,1788.9862418833725,1.5856083518215764,1.2123942376738372,0.7521106020871496,0.88,0
Estonia,1437.197845579761,1.2434297606924145,0.9938838118972113,1.7692805129413554,0.85,0
Suriname,1565.1234597538012,0.977038602436544,1.3139748958443982,1.2422559303737855,0.85,0
Provence,1447.687098695408,1.1112588600869568,4.506253979072435,2.140390689362115,0.85,0
Costa Rica,1735.3345834328945,0.6787667947972169,1.6824247939046093,1.7555286548289064,0.82,0
El Salvador,1482.0179440305876,0.8502347203786267,0.5932417317895103,1.2430421495414838,0.85,0
Guatemala,1620.7628373704893,0.6913678632145092,1.128633680662266,2.3863896110178953,0.85,0
Portugal,2013.8571450758504,2.2128011655698763,2.420789348845047,0.9359983457985989,1.0,0
Poland,1753.9873196274891,1.4206670090621718,1.6179181466675803,1.5157666585348923,1.0,0
Brittany,1518.84226678381,1.6936698814322286,1.3697224706316837,1.1408396965945313,0.85,0
New Zealand,1691.69527762992,0.4847225400433747,1.5045262909868813,1.5238812866484934,0.72,0
Australia,1878.1257378562493,1.3624096276321358,1.4209754109536772,0.9416235854362687,0.84,0
Latvia,1348.8878291367957,0.5383881711653324,0.6023016961489387,1.5400364278968999,0.85,0
Galicia,1539.2279931203252,1.094749315577561,1.5076137520958208,2.074782081488381,0.85,0
Central Spain,1498.131344383973,1.6495019919374339,1.0,1.90008325008424,0.85,0
Mexico,1944.508993402739,2.385213159704088,1.6589642621520948,0.6038797621537766,0.82,1
Andalusia,1597.8143956211368,2.6436077083747507,2.1531450164309267,0.9964445229289063,0.85,0
Asturias,1512.4522478583203,3.0,3.0,1.0,0.85,0
Lithuania,1328.3453931082913,0.7677445564687739,0.6931832725932736,1.7060186379200968,0.85,0
Turkey,1924.9800867131046,2.6846269658932016,2.228300803961536,1.0100296677629563,1.0,0
Aruba,1205.0835870478684,1.5940901125224136,1.6528722992502713,1.959993602176464,0.85,0
Curacao,1555.52543302844,1.3343530841919486,1.9585066862411047,1.3901796649401883,0.82,0
Bulgaria,1534.2796286555183,1.258974768381232,1.53404693851589,2.041902435142021,0.85,0
Republic of Ireland,1737.0482247823609,1.931277557592065,1.5151802558727103,0.9154234215057782,0.85,0
Haiti,1647.247760753357,1.4014765917807217,1.8094515683170045,1.0930792673045753,0.82,0
Jamaica,1645.1571518052351,1.1773581712542902,1.1339161863323914,0.9008100264234985,0.82,0
Kenya,1470.8036283563,1.4475133305651546,1.3320840901508084,1.6698791573599883,0.85,0
Uganda,1509.1119840417937,0.9603824879600582,1.1904771259949385,1.64728491853922,0.85,0
Bolivia,1671.1937717130393,0.94782321295259,0.8281379397672742,1.7864745776653461,0.97,0
Peru,1733.4077338096913,0.7672215049968194,0.8302249699505619,1.5803707232295257,0.97,0
Honduras,1678.9996202898456,0.9476606296501328,1.0406517542942715,1.0955651918517701,0.82,0
Belarus,1533.5546705094537,1.7746731847512347,1.5136224006124255,1.6038099965151333,0.85,0
Ukraine,1783.8993027939566,1.6059365027784498,1.490164607429632,1.5729099360887302,1.0,0
Barbados,1153.5356808559704,0.537122574916274,1.6459745452576806,2.366034761395851,0.85,0
Nicaragua,1491.0156824460494,0.49655883642380816,0.693340796457285,1.8566772942228082,0.85,0
Cuba,1400.437894308661,1.2749983521537644,1.2621181115757465,1.6052877580120717,0.85,0
Martinique,1451.6580663972807,0.5727252690755823,0.747528458141843,1.1962145522980463,0.85,0
Dominica,1173.32507170616,0.5981743540159857,0.8908573496023632,1.9745210200481509,0.85,0
Silesia,1516.329091879294,1.4940594315033098,3.107051918650992,2.0657241390659005,0.85,0
Guadeloupe,1525.2070604864477,1.204206968519178,1.7542926131205436,1.33872186772203,0.85,0
Israel,1661.5273776095812,1.7232244624279707,1.6677432195530062,1.7506242349347756,0.85,0
Indonesia,1504.8916850778733,1.5479915186620512,1.557963734900104,1.2580348963768921,0.85,0
French Guiana,1383.970545280977,0.7242046609669496,1.4790259029137671,1.5329812515315537,0.85,0
Saint Lucia,1256.6951361936228,0.5760981228297937,1.0373168875188148,2.8064198923122334,0.85,0
Colombia,2009.6511491452534,2.1069743835658956,2.022512353276007,1.0704222743552199,0.97,0
Panama,1817.387157633486,1.5437821865074983,1.8074025246951326,1.4471089090825486,0.82,0
Venezuela,1787.7364618925833,0.9797732048447482,1.0755910309335557,1.6457020551891397,0.97,0
Ecuador,1954.370898103285,2.035608596032785,1.216580035067806,0.43273213512879294,0.97,0
Saint Kitts and Nevis,1300.4099860667957,1.3618983884537084,1.8871451576444442,2.433107804863214,0.85,0
Grenada,1299.7487505647218,0.9854573815344855,1.301046162793927,2.077868444083754,0.85,0
India,1261.9591159635984,0.22340876208100438,0.5113041691609147,1.4183726856764347,0.85,0
Slovakia,1702.0669371811284,1.797873445856031,1.4186411608305023,1.529496130146259,1.0,0
Manchukuo,1453.609088258474,0.0,0.0,5.230728790200571,0.85,0
Croatia,1942.3985086103623,1.9601076285250805,2.0061578610920674,1.153549337040981,1.0,0
Lebanon,1429.2102538541335,1.747059920504887,1.7702606052042238,0.7100942736885355,0.85,0
Puerto Rico,1379.436893613893,1.3245605786020251,1.5790034801458295,1.7428381939854554,0.85,0
Afghanistan,1184.8465666568895,0.7704988883312504,0.49658166988125235,1.3780437398407108,0.85,0
Iran,1867.257568527426,2.05314781872814,1.9351469670488637,0.6840230523511164,0.84,0
Mongolia,1042.3087999773231,0.4720214724117289,0.44643062154395396,2.431568216508894,0.85,0
Tanzania,1409.6243885072013,0.8381745220291685,1.1665234822266706,1.2220648000523493,0.85,0
Zimbabwe,1454.7087741023004,1.3687823956361391,1.0821908240959772,1.2541071807719666,0.85,0
Zambia,1553.3727638316143,0.41067064825826677,0.6192304242465071,1.9356625442226685,0.85,0
Iceland,1587.3550114572054,0.7106371472947924,1.3563130159559085,1.8852858648545208,0.85,0
Albania,1649.3851061490643,0.8068242641099854,0.7609544614854977,0.9607817338299193,0.85,0
Montenegro,1534.6035239679297,1.49051625524075,1.3685501512878715,1.7169470154401476,0.85,0
Madagascar,1462.7928642984862,1.5142663936017307,1.6261370710724166,1.7235403765632111,0.85,0
Mauritius,1214.309626027573,0.4501250103654838,0.5876746569982407,1.4829870422486404,0.85,0
Réunion,1568.1022871981368,1.4820929211508567,1.642876713007549,0.6351032692956198,0.85,0
Zanzibar,1529.5425989534085,2.097202769595953,1.175574178400603,1.0505571246887537,0.85,0
Djibouti,1079.5641990991273,0.08635029218193079,0.5991636690764978,2.659184237990785,0.85,0
Ethiopia,1391.4671413223252,1.4369616015562139,0.9513884968879204,1.495702623424431,0.85,0
DR Congo,1714.840398061264,1.9779184427752348,1.2649593995645287,0.4343891159735285,0.85,0
South Korea,1868.727052401915,1.9935175724530105,1.685076579093103,0.9658766834285447,0.84,0
Vietnam,1517.4263080832668,2.7174065691589875,2.2659148805448455,0.917632555513796,0.85,0
Macau,897.1111072242786,0.06314268052357222,0.38434287857658134,2.6399607666522806,0.85,0
Dominican Republic,1489.9179563399882,0.7615099714138469,1.7959756829620541,1.4922704498352377,0.85,0
Cyprus,1397.1408392501144,1.50559340750952,1.4465006337210309,1.5962917137171164,0.85,0
Sierra Leone,1445.3012134625244,1.771602782971916,1.1019993250334312,1.1250749204352615,0.85,0
Nigeria,1832.8561993176077,2.070080255769996,2.0500148614761673,0.7803435444989133,0.88,0
Syria,1562.444464088297,1.2756909044689764,1.50357077254698,1.1634308268036828,0.85,0
Serbia,1792.1006762508048,0.9975616453480437,0.9462896682396211,1.9109309625857773,1.0,0
Taiwan,1102.340838336483,0.2820679766754039,1.1223999150223631,2.934801487761454,0.85,0
Ghana,1586.8509196392947,0.7157905382048841,1.227450641585482,1.3803270389944615,0.88,0
Myanmar,1195.8918170451916,1.4553544426818508,1.532343988860982,2.3429559026557403,0.85,0
New Caledonia,1578.1959846720913,1.6577075647068906,2.013007399159129,1.0675610481962288,0.85,0
Vanuatu,1464.2465812890946,1.7483860604797896,1.5108668788588173,2.0515346965244112,0.85,0
Fiji,1440.4040325073645,0.31810413826802203,1.0401023605668047,2.442748191657189,0.85,0
Pakistan,1090.9495167926184,1.353093325231432,0.6852197063656287,2.083923669985818,0.85,0
Sri Lanka,1065.6294383572424,1.084406712373048,0.7879354783536661,1.3921229129408865,0.85,0
