team,round_of_32,round_of_16,quarter_final,semi_final,final,champion
Spain,99.17,79.19,62.260000000000005,53.21,40.239999999999995,29.59
Argentina,99.41,66.86,57.21000000000001,45.26,32.879999999999995,18.84
England,97.16,76.36,57.3,36.89,20.200000000000003,10.81
France,92.47999999999999,74.2,53.68000000000001,33.910000000000004,17.41,9.34
Portugal,92.10000000000001,60.529999999999994,40.88,19.57,10.6,5.18
Germany,98.22999999999999,63.4,43.18,22.62,9.370000000000001,3.47
Brazil,94.21000000000001,60.6,30.89,18.29,7.64,3.15
Netherlands,95.86,60.6,30.159999999999997,16.650000000000002,6.87,3.04
Colombia,83.47,48.58,28.09,13.600000000000001,6.260000000000001,2.48
Ecuador,95.88,58.36,38.05,17.4,5.47,1.79
Croatia,80.57,42.94,23.07,10.979999999999999,4.5,1.71
Norway,80.67999999999999,53.63,30.620000000000005,14.799999999999999,5.65,1.48
Switzerland,95.72,67.46,21.92,9.99,4.01,1.44
Morocco,90.01,50.14999999999999,21.64,10.27,3.26,1.0699999999999998
Turkey,90.19,55.97,31.3,8.75,3.81,1.06
Belgium,92.58,60.980000000000004,28.060000000000002,8.02,3.64,0.9400000000000001
Uruguay,93.15,33.78,18.21,8.309999999999999,3.1199999999999997,0.75
Canada,94.74000000000001,54.510000000000005,17.29,5.93,2.29,0.69
Mexico,91.47999999999999,54.22,17.26,6.64,2.01,0.6799999999999999
Austria,81.61,28.549999999999997,11.99,4.8,2.0500000000000003,0.5599999999999999
Japan,84.66,36.6,12.31,4.67,1.32,0.41000000000000003
Senegal,66.21000000000001,31.14,14.14,4.9799999999999995,1.3599999999999999,0.38999999999999996
Paraguay,58.9,27.02,12.790000000000001,3.25,1.02,0.25
Australia,67.30000000000001,29.160000000000004,12.35,2.6100000000000003,0.8099999999999999,0.21
Algeria,64.88000000000001,24.240000000000002,8.83,2.85,0.91,0.19
Iran,74.00999999999999,30.18,8.97,1.8800000000000001,0.58,0.12
South Korea,76.41,29.7,9.09,2.29,0.54,0.1
Egypt,79.46,31.919999999999998,8.04,1.69,0.45999999999999996,0.1
Scotland,53.690000000000005,22.81,7.19,2.01,0.38,0.03
Ivory Coast,63.22,20.24,5.680000000000001,1.03,0.2,0.03
Sweden,56.42,14.34,3.6799999999999997,0.8200000000000001,0.15,0.03
Panama,70.04,21.33,5.18,1.26,0.2,0.03
USA,57.550000000000004,23.169999999999998,7.13,1.24,0.26,0.02
Czechoslovakia,63.959999999999994,19.8,4.63,0.91,0.16999999999999998,0.01
Uzbekistan,64.97,20.73,5.2,1.03,0.18,0.01
Saudi Arabia,30.659999999999997,4.16,0.7799999999999999,0.08,0.01,0.0
Qatar,37.82,5.1499999999999995,0.5499999999999999,0.05,0.0,0.0
DR Congo,29.78,6.1,1.32,0.32,0.03,0.0
South Africa,40.69,11.940000000000001,2.44,0.43,0.05,0.0
Ghana,20.26,3.2,0.24,0.02,0.0,0.0
Haiti,23.880000000000003,3.9,0.66,0.05,0.0,0.0
New Zealand,26.91,4.41,0.5,0.04,0.0,0.0
Curacao,8.799999999999999,1.0999999999999999,0.12,0.01,0.0,0.0
Tunisia,30.5,6.329999999999999,1.3299999999999998,0.13,0.02,0.0
Cape Verde,26.3,3.7800000000000002,0.44999999999999996,0.0,0.0,0.0
Iraq,32.85,7.42,1.82,0.32,0.06,0.0
Bosnia and Herzegovina,35.08,6.6000000000000005,0.8999999999999999,0.12,0.01,0.0
Jordan,16.09,2.6599999999999997,0.62,0.02,0.0,0.0
